ID;Nome;Categoria;Preço;Quantidade em Estoque;Descrição
1;"Smart TV 55"" 4K";Eletrônicos;299.99;50;"Televisão LED 55"" com resolução 4K e suporte a HDR."
2;Smartphone X12;Eletrônicos;699.99;30;"Smartphone com tela de 6.5"", 128GB de armazenamento."
3;Cadeira de Escritório;Móveis;89.99;15;Cadeira ergonômica ajustável para escritório.
4;Notebook UltraBook;Eletrônicos;1199.99;20;Notebook com processador Intel i7 e 16GB de RAM.
5;Geladeira Frost Free;Eletrodomésticos;899.99;10;Geladeira com tecnologia Frost Free e 500L de capacidade.
6;Mixer de Mão;Eletrodomésticos;49.99;40;Mixer portátil com 5 velocidades e função turbo.
7;Tênis Esportivo;Vestuário;79.99;60;Tênis para corrida com sola de amortecimento.
8;Relógio de Pulso;Acessórios;129.99;25;Relógio analógico com caixa de aço inoxidável.
9;Cadeira Gamer;Móveis;159.99;12;Cadeira ajustável com apoio para lombar e braços.
10;Sofá 3 Lugares;Móveis;499.99;8;Sofá confortável para 3 pessoas em tecido de microfibra.
11;Ar Condicionado;Eletrodomésticos;349.99;5;Ar condicionado portátil com função desumidificador.
12;Aspirador de Pó;Eletrodomésticos;199.99;20;Aspirador com filtro HEPA e capacidade de 2L.
13;Mochila Escolar;Acessórios;39.99;70;Mochila com múltiplos compartimentos e alças ajustáveis.
14;Abajur LED;Móveis;59.99;35;Abajur com iluminação LED regulável e design moderno.
15;Cafeteira Elétrica;Eletrodomésticos;79.99;50;Cafeteira com capacidade de 12 xícaras e filtro permanente.
16;Fone de Ouvido Bluetooth;Eletrônicos;89.99;45;Fones com cancelamento de ruído e conectividade Bluetooth.
17;Livro de Receitas;Livros;29.99;100;Livro com receitas rápidas e práticas para o dia a dia.
18;DVD Player;Eletrônicos;89.99;15;Reprodutor de DVD com função upscaling para HD.
19;Roupeiro 3 Portas;Móveis;299.99;12;Roupeiro de madeira com 3 portas e prateleiras internas.
20;Ventilador de Mesa;Eletrodomésticos;39.99;50;Ventilador com 3 velocidades e oscilação.
21;Colchão Queen Size;Móveis;399.99;7;Colchão ortopédico com espuma de alta densidade.
